,Product name,Rating number,Reviews number,Price
product_1,"Crema hidratanta pentru 72h pentru tenul sensibil, deshidratat si tern, cu textura lejera, La Roche-Posay Hydraphase HA Lejere, 50 ml",4.59,17,57.38
product_2,"Crema hidratanta, calmanta, cu rol de protectie pentru tenul sensibil, uscat, potrivita pentru bebelusi, copii, adultiLa Roche-Posay Toleriane Sensitive Crema, 40ml",4.84,268,47.51
product_3,"Crema hidratanta de fata CeraVe SPF 50 ten normal-uscat, 52 ml",4.51,100,59.16
product_4,"Crema hidratanta contur ochi Aquafil Hydra Complex Gel, Ivatherm, cu acid hialuronic si peptide, efect regenerator, 15ml",4.83,12,64.0
product_5,"Pachet Bioderma Atoderm Intensive: Crema-gel pentru corp, 500 ml + Gel de dus spumant, 500 ml",5,4,85.35
product_6,"Crema hidratanta, calmanta si reparatoare, pentru tenul cu tendinta alergica sau reactiva, uscat sau foarte uscat, La Roche-Posay Toleriane Dermallergo Crema, 40 ml",4.17,12,61.2
product_7,"Crema antirid de zi L'Oreal Paris Hyaluron Specialist cu acid hialuronic, 50 ml",4.38,93,30.43
product_8,"Crema de ochi antirid L'Oreal Paris Hyaluron Specialist cu acid hialuronic, 15 ml",4.48,27,24.15
product_9,"Crema pentru fata Revox cu Retinol si protectie solara SPF20, 50 ml",5,6,37.6
product_10,"Crema de picioare Neutrogena intens reparatoare cu Formula Norvegiana, pentru calcaie crapate, 50 ml",5,8,21.08
product_11,"Crema de fata de zi antirid Vichy LIFTACTIV Collagen Specialist pentru toate tipurile de ten, 50ml",4.61,84,124.75
product_12,"Crema de corp Bioderma Atoderm pentru piele uscata si foarte uscata, fara parfum, 500 ml",4.99,73,48.0
product_13,"Crema hidratanta pentru fata CeraVe AM, cu ceramide, SPF 25, ten normal-uscat, 52 ml",4.51,100,54.06
product_14,Crema cu extract de melc 150ml,4.71,38,12.95
product_15,"Crema de fata antirid cu acid hialuronic Vichy Liftactiv Supreme SPF 30, pentru toate tipurile de ten, 50 ml",4.65,117,101.0
product_16,"Crema de fata antirid de noapte pentru toate tipurile de ten Vichy Liftactiv, 50 ml",4.81,36,87.5
product_17,Vaselina Cosmetica Pura- Vaseline Pure Petroleum Jelly 100ml,5,18,8.5
product_18,"Crema hidratanta pentru fata CeraVe PM, cu ceramide, niacinamidă și acid hialuronic pentru ten normal-uscat, 52 ml",4.91,58,54.06
