,Product name,Rating number,Reviews number,Price
product_1,"Telefon mobil Samsung Galaxy A03, 64GB, 4GB RAM, 4G, Black",4.69,36,679.99
product_2,"Telefon mobil Samsung Galaxy A03, Dual Sim, 64GB, 4GB RAM, 4G, Blue",4.69,36,589.0
product_3,"Telefon mobil Huawei Nova 9, Dual SIM, 8GB RAM, 128GB, 4G, Black",4.36,66,1386.02
product_4,"Telefon mobil Samsung Galaxy A03, Dual Sim, 64GB, 4GB RAM, 4G, Red",4.69,36,589.0
product_5,"Telefon mobil Samsung Galaxy A13, 64GB, 4GB RAM, 4G, Nacho Black",4.71,7,689.9
product_6,"Telefon mobil Apple iPhone 8, 64GB, 4G, Space Grey",4.57,280,1368.5
product_7,"Telefon mobil Samsung Galaxy A52, Dual SIM, 128GB, 6GB RAM, 4G, Awesome Black",4.5,246,1699.0
product_8,"Telefon mobil Xiaomi Redmi 9A, Dual SIM, 32GB, 4G, Carbon Grey",4.26,208,534.91
product_9,"Telefon mobil Apple iPhone 8, 64GB, 4G, Gold",4.57,280,1368.5
product_10,"Telefon mobil Samsung Galaxy A22, Dual SIM, 64GB, 5G, Gray",4.48,136,899.99
product_11,"Telefon mobil Huawei Nova 9, Dual SIM, 8GB RAM, 128GB, 4G, Starry Blue",4.36,66,1386.02
product_12,"Telefon mobil Samsung Galaxy A32, Dual SIM, 128GB, 4G, Black",4.37,199,999.9
product_13,"Telefon mobil Apple iPhone 11, 64GB, Green",4.76,1174,2839.99
product_14,"Telefon mobil Samsung Galaxy A13, 32GB, 3GB RAM, 4G, Nacho Black",4.71,7,672.2
product_15,"Telefon mobil Huawei Nova 8i, Dual SIM, 6GB RAM, 128GB, 4G, Moonlight Silver",3.92,48,989.99
product_16,"Telefon mobil Nokia 150 (2020), Dual Sim, Black",4.48,71,164.01
product_17,"Telefon mobil Huawei Y5P, Dual SIM, 32GB, 4G, Midnight Black",3.99,183,518.99
product_18,"Telefon mobil Samsung Galaxy A22, Dual SIM, 64GB, 5G, Light Violet",4.48,136,999.99
product_19,"Telefon mobil Samsung Galaxy A13, 32GB, 3GB RAM, 4G, Nacho Blue",4.71,7,729.0
product_20,"Telefon mobil Samsung Galaxy A13, 128GB, 4GB RAM, 4G, Nacho Black",4.71,7,849.0
product_21,"Telefon mobil Nokia 230, Dual Sim, Dark Silver",4.44,319,289.99
product_22,"Telefon mobil Samsung Galaxy A33, Dual SIM, 6GB RAM, 128GB, 5G, Awesome Black",3.85,20,1394.99
product_23,"Telefon mobil Apple iPhone XR, 64GB, Black",4.67,350,2399.0
product_24,"Telefon mobil Samsung Galaxy A53, Dual SIM, 6GB RAM, 128GB, 5G, Awesome Black",4.19,130,1768.99
product_25,"Telefon mobil Motorola Edge 20, Dual SIM, 128GB, 8GB RAM, 5G, Frosted Grey",4.31,134,1438.99
product_26,"Telefon mobil Apple iPhone 11, 128GB, Black",4.76,1174,2999.99
product_27,"Telefon mobil Samsung Galaxy A32, Dual SIM, 128GB, 4G, Blue",4.37,199,1229.98
product_28,"Telefon mobil OUKITEL WP12 Pro, Android 11, 4GB/64GB, Dual SIM 4G, IP68, Face ID/NFC, Rosu",4.78,23,658.78
product_29,"Telefon mobil Samsung Galaxy S10+, Dual SIM, 128GB, 8GB RAM, 4G, Black",4.54,581,2196.0
product_30,"Telefon Mobil Huawei Nova 9 SE, Dual SIM, 8GB RAM, 128GB, 4G, Crystal Blue",3.94,31,989.99
product_31,"Telefon mobil Nokia 105 (2019), Single SIM, Black",4.29,59,84.99
product_32,"Telefon mobil Samsung Galaxy A52s, Dual SIM, 128GB, 6GB RAM, 5G, Awesome Black",4.53,417,1819.0
product_33,"Telefon mobil Samsung Galaxy A33, Dual SIM, 6GB RAM, 128GB, 5G, Awesome Blue",3.85,20,1499.0
product_34,"Telefon mobil Samsung Galaxy A32, Dual SIM, 128GB, 4G, White",4.37,199,1249.5
product_35,"Telefon Mobil Huawei Nova 9 SE, Dual SIM, 8GB RAM, 128GB, 4G, Pearl White",3.94,31,1064.51
product_36,"Telefon mobil Apple iPhone 11, 128GB, White",4.76,1174,2999.99
product_37,"Telefon mobil Nokia 105 (2019), Dual SIM, Black",4.47,130,104.99
product_38,"Telefon mobil Samsung Galaxy S10e, Dual SIM, 128GB, 6GB RAM, 4G, Black",4.44,394,1732.4
product_39,"Telefon Mobil Huawei Nova 9 SE, Dual SIM, 8GB RAM, 128GB, 4G, Midnight Black",3.94,31,984.99
product_40,"Telefon mobil iHunt Like 12, Dual SIM, 16GB, 1GB RAM, 3G, Pink",2.13,8,299.0
product_41,"Telefon mobil Samsung Galaxy A13, 32GB, 3GB RAM, 4G, Nacho White",4.71,7,669.99
product_42,"Telefon mobil Motorola Edge 20, Dual SIM, 128GB, 8GB RAM, 5G, Frosted Emerald",4.31,134,1299.99
product_43,"Telefon mobil Samsung Galaxy S10+, Dual SIM, 128GB, 8GB RAM, 4G, Prism White",4.54,581,2147.2
product_44,"Telefon mobil Apple iPhone 11, 64GB, Purple",4.76,1174,2519.99
product_45,"Telefon mobil iHunt S22 Plus, Dual SIM, 16GB, 2GB RAM, 4G, Black",4.38,16,395.0
product_46,"Telefon mobil Samsung Galaxy A13, 64GB, 4GB RAM, 4G, Nacho White",4.71,7,749.99
product_47,"Telefon mobil OPPO Reno 5 Lite, Dual SIM, 128GB, 8GB RAM, 4G, Fluid Black",4.6,128,1199.99
product_48,"Telefon mobil Nokia 105 (2019), Dual SIM, Blue",4.45,138,102.99
product_49,"Telefon mobil Samsung Galaxy A32, Dual SIM, 128GB, 4G, Lavender",4.37,199,1199.0
product_50,"Telefon mobil Apple iPhone XS, 64GB, Gold",4.62,245,2064.65
product_51,"Telefon mobil Realme 8, Dual SIM, 4GB RAM, 64GB, 4G, Cyber Silver",4.57,68,699.99
product_52,"Telefon mobil Samsung Galaxy A13, 64GB, 4GB RAM, 4G, Nacho Blue",4.71,7,799.99
product_53,"Telefon mobil Samsung Galaxy A13, 128GB, 4GB RAM, 4G, Nacho Blue",4.71,7,849.99
product_54,"Telefon mobil Apple iPhone 11, 64GB, White",4.76,1174,2329.99
product_55,"Telefon mobil Huawei P30 Lite, Dual SIM, 128GB, 4G, Midnight Black",4.56,879,1198.38
product_56,"Telefon mobil Xiaomi Redmi 10, Dual SIM, 64GB, 4G, Carbon Gray",4.67,33,849.99
product_57,"Telefon mobil Samsung Galaxy A53, Dual SIM, 8GB RAM, 256GB, 5G, Awesome Blue",4.19,130,2099.99
product_58,"Telefon mobil Samsung Galaxy A53, Dual SIM, 8GB RAM, 256GB, 5G, Awesome Black",4.19,130,2179.0
product_59,"Telefon mobil Oppo Reno 6, Dual SIM, 128GB, 8GB RAM, 5G, Stellar Black",4.73,56,1609.0
product_60,"Telefon mobil Samsung Galaxy A22, Dual SIM, 128GB, 5G, Gray",4.48,136,1099.0
