,Product name,Rating number,Reviews number,Price
product_1,"Telefon mobil Apple iPhone 8, 64GB, 4G, Space Grey",4.57,280,1368.5
product_2,"Telefon mobil Samsung Galaxy A52, Dual SIM, 128GB, 6GB RAM, 4G, Awesome Black",4.5,246,1699.0
product_3,"Telefon mobil Samsung Galaxy A53, Dual SIM, 6GB RAM, 128GB, 5G, Awesome Black",4.19,130,1768.99
product_4,"Telefon mobil Apple iPhone 8, 64GB, 4G, Gold",4.57,280,1368.5
product_5,"Telefon mobil Samsung Galaxy A33, Dual SIM, 6GB RAM, 128GB, 5G, Awesome Black",3.85,20,1394.99
product_6,"Telefon mobil Samsung Galaxy A33, Dual SIM, 6GB RAM, 128GB, 5G, Awesome Blue",3.85,20,1499.0
product_7,"Telefon mobil Samsung Galaxy A53, Dual SIM, 8GB RAM, 256GB, 5G, Awesome Blue",4.19,130,2099.99
product_8,"Telefon mobil Samsung Galaxy A53, Dual SIM, 8GB RAM, 256GB, 5G, Awesome Black",4.19,130,2179.0
product_9,"Telefon mobil Apple iPhone 11, 64GB, Green",4.76,1174,2839.99
product_10,"Telefon mobil Apple iPhone 11, 64GB, Purple",4.76,1174,2519.99
product_11,"Telefon mobil Apple iPhone 11, 64GB, White",4.76,1174,2329.99
product_12,"Telefon mobil Apple iPhone 11, 128GB, Black",4.76,1174,2999.99
product_13,"Telefon mobil Apple iPhone 11, 64GB, Black",4.76,1174,2629.99
product_14,"Telefon mobil Samsung Galaxy A03, 64GB, 4GB RAM, 4G, Black",4.69,36,679.99
product_15,"Telefon mobil OUKITEL WP12 Pro, Android 11, 4GB/64GB, Dual SIM 4G, IP68, Face ID/NFC, Rosu",4.78,23,658.78
product_16,"Telefon mobil Samsung Galaxy A03, Dual Sim, 64GB, 4GB RAM, 4G, Blue",4.69,36,589.0
product_17,"Telefon mobil Samsung Galaxy A53, Dual SIM, 6GB RAM, 128GB, 5G, Awesome White",4.19,130,1559.99
product_18,"Telefon mobil Realme 8, Dual SIM, 4GB RAM, 64GB, 4G, Cyber Silver",4.57,68,699.99
product_19,"Telefon mobil Apple iPhone 11, 128GB, White",4.76,1174,2999.99
product_20,"Telefon mobil Apple iPhone 11, 64GB, Red",4.76,1174,2499.99
product_21,"Telefon mobil Huawei Nova 9, Dual SIM, 8GB RAM, 128GB, 4G, Black",4.36,66,1386.02
product_22,"Telefon mobil Samsung Galaxy A03, Dual Sim, 64GB, 4GB RAM, 4G, Red",4.69,36,589.0
product_23,"Telefon mobil Xiaomi Redmi Note 10 Pro, Dual SIM, 6GB RAM, 128GB, Glacier Blue",4.22,260,1244.0
product_24,"Telefon mobil Samsung Galaxy A13, 64GB, 4GB RAM, 4G, Nacho Black",4.71,7,689.9
product_25,"Telefon mobil Xiaomi Redmi 9A, Dual SIM, 32GB, 4G, Carbon Grey",4.26,208,534.91
product_26,"Telefon mobil Samsung Galaxy A22, Dual SIM, 64GB, 5G, Gray",4.48,136,899.99
product_27,"Telefon mobil Xiaomi Redmi Note 10 Pro, Dual SIM, 6GB, 128GB, Onyx Gray",4.22,260,1214.0
product_28,"Telefon mobil Xiaomi Redmi Note 9 Pro, Dual SIM, 128GB, 6GB RAM, 4G, Interstellar Grey",4.5,674,1199.0
product_29,"Telefon mobil Huawei Nova 9, Dual SIM, 8GB RAM, 128GB, 4G, Starry Blue",4.36,66,1386.02
product_30,"Telefon mobil Samsung Galaxy A32, Dual SIM, 128GB, 4G, Black",4.37,199,999.9
product_31,"Telefon mobil Xiaomi Redmi NOTE 11 PRO, 6GB RAM, 128GB, 5G, Gray",4,3,1665.6
